id,created_at,text
8.23324E+17,23/01/2017 00:20,.@MichaelNutter got a lot of great points into 140 characters here. We have to keep the momentum. https://t.co/Bd66lBPMEs
8.23324E+17,23/01/2017 00:18,"Scrolling through images of the #womensmarch is awe-inspiring. Hope it brought joy to others as it did to me.
https://t.co/29oaMvk3hU"
8.22903E+17,21/01/2017 20:27,"I stand w/ Nora Harren, a 17-year  from Boise, ID, &amp; every person marching for our values today. Onward! ✊✊🏾✊🏽✨… https://t.co/Zt8THPtAn8"
8.22846E+17,21/01/2017 16:39,"'Hope Not Fear'
Indeed. 
And what a beautiful piece by Louisa Cannell. 
#womensmarch 👊👊🏻👊🏼👊🏽✨ https://t.co/7h3Bzx79nB"
8.22823E+17,21/01/2017 15:07,"Thanks for standing, speaking &amp; marching for our values @womensmarch. Important as ever. I truly believe we're always Stronger Together."
8.22472E+17,20/01/2017 15:53,I'm here today to honor our democracy &amp; its enduring values. I will never stop believing in our country &amp; its future. #Inauguration
8.2187E+17,19/01/2017 00:00,"Indeed. Bill &amp; I have you in our thoughts &amp; look forward to you both being back on your feet soon, wild socks &amp; all… https://t.co/yUWSbJDnlH"
8.16426E+17,03/01/2017 23:28,Delighted that @NYGovCuomo proposed free college for ppl making &lt;125K in NY. A plan @SenSanders &amp; I worked hard on. https://t.co/V0aXjhxKpm
8.13499E+17,26/12/2016 21:37,The holidays are a time to be thankful for our blessings. Let's rejoice in this season &amp; look forward with renewed hope &amp; determination. -H
7.94366E+17,,
7.94353E+17,,
7.94349E+17,,
7.94348E+17,,
7.94347E+17,,
7.94345E+17,,
7.94344E+17,,
7.94344E+17,,
7.94343E+17,,
7.94343E+17,,
7.94329E+17,,
7.94306E+17,,
7.94295E+17,,
7.94295E+17,,
7.94285E+17,,
7.94279E+17,,
7.94274E+17,,
7.94272E+17,,
7.94271E+17,,
7.9427E+17,,
7.94269E+17,,
7.94268E+17,,
7.94265E+17,,
7.94262E+17,,
7.94253E+17,,
7.94244E+17,,
7.94237E+17,,
7.9423E+17,,
7.94223E+17,,
7.94219E+17,,
7.94193E+17,,
7.94187E+17,,
7.94178E+17,,
7.94153E+17,,
7.94043E+17,,
7.94028E+17,,
7.94027E+17,,
7.94025E+17,,
7.94024E+17,,
7.94022E+17,,
7.94021E+17,,
7.9402E+17,,
7.94018E+17,,
7.94016E+17,,
7.94008E+17,,
7.93994E+17,,
7.93989E+17,,
7.93985E+17,,
7.93972E+17,,
7.93962E+17,,
7.93954E+17,,
7.93953E+17,,
7.9395E+17,,
7.9395E+17,,
7.93949E+17,,
7.93948E+17,,
7.93929E+17,,
7.93918E+17,,
7.93914E+17,,
7.9391E+17,,
7.93908E+17,,
7.93907E+17,,
7.93906E+17,,
7.93905E+17,,
7.93905E+17,,
7.93902E+17,,
7.93896E+17,,
7.93879E+17,,
7.93871E+17,,
7.93865E+17,,
7.93858E+17,,
7.93848E+17,,
7.93835E+17,,
7.93824E+17,,
7.93797E+17,,
7.93637E+17,,
7.93626E+17,,
7.9362E+17,,
7.93604E+17,,
7.93591E+17,,
7.93575E+17,,
7.93548E+17,,
7.93547E+17,,
7.93547E+17,,
7.93546E+17,,
7.93546E+17,,
7.93545E+17,,
7.93545E+17,,
7.93544E+17,,
7.93543E+17,,
7.93542E+17,,
7.93541E+17,,
7.9354E+17,,
7.93539E+17,,
7.93523E+17,,
7.93514E+17,,
7.93505E+17,,
7.93502E+17,,
7.93486E+17,,
7.93469E+17,,
7.93456E+17,,
7.93437E+17,,
7.93428E+17,,
7.93282E+17,,
7.93255E+17,,
7.9325E+17,,
7.93234E+17,,
7.93223E+17,,
7.93222E+17,,
7.93222E+17,,
7.9322E+17,,
7.93218E+17,,
7.93213E+17,,
7.93189E+17,,
7.93186E+17,,
7.93181E+17,,
7.93176E+17,,
7.93168E+17,,
7.93167E+17,,
7.93166E+17,,
7.93165E+17,,
7.93164E+17,,
7.93163E+17,,
7.93162E+17,,
7.93161E+17,,
7.93161E+17,,
7.93161E+17,,
7.93161E+17,,
7.9316E+17,,
7.93158E+17,,
7.93136E+17,,
7.93125E+17,,
7.93108E+17,,
7.93091E+17,,
7.93086E+17,,
7.93072E+17,,
7.92908E+17,,
7.92895E+17,,
7.92883E+17,,
7.92879E+17,,
7.92863E+17,,
7.92849E+17,,
7.92843E+17,,
7.92837E+17,,
7.9281E+17,,
7.92796E+17,,
7.92793E+17,,
7.92793E+17,,
7.92792E+17,,
7.92792E+17,,
7.92791E+17,,
7.92789E+17,,
7.9278E+17,,
7.92774E+17,,
7.92766E+17,,
7.92739E+17,,
7.92725E+17,,
7.92533E+17,,
7.92514E+17,,
7.92491E+17,,
7.92475E+17,,
7.92472E+17,,
7.92467E+17,,
7.92466E+17,,
7.92465E+17,,
7.92465E+17,,
7.92464E+17,,
7.92462E+17,,
7.92448E+17,,
7.92383E+17,,
7.92373E+17,,
7.92134E+17,,
7.92134E+17,,
7.92133E+17,,
7.92131E+17,,
7.9213E+17,,
7.92129E+17,,
7.92128E+17,,
7.92127E+17,,
7.92126E+17,,
7.92124E+17,,
7.92095E+17,,
7.9209E+17,,
7.92083E+17,,
7.92083E+17,,
7.92082E+17,,
7.92082E+17,,
7.92081E+17,,
7.9208E+17,,
7.9208E+17,,
7.9208E+17,,
7.92075E+17,,
7.92061E+17,,
7.92049E+17,,
7.92046E+17,,
7.92016E+17,,
7.92011E+17,,
7.91991E+17,,
7.91989E+17,,
7.91977E+17,,
7.91836E+17,,
7.91823E+17,,
7.91813E+17,,
7.91796E+17,,
7.91774E+17,,
7.91749E+17,,
7.91724E+17,,
7.91721E+17,,
7.9172E+17,,
7.9172E+17,,
7.91719E+17,,
7.91719E+17,,
7.91718E+17,,
7.91718E+17,,
7.91717E+17,,
7.91717E+17,,
7.91717E+17,,
7.91716E+17,,
7.91715E+17,,
7.91714E+17,,
7.91714E+17,,
7.91714E+17,,
7.91712E+17,,
7.91711E+17,,
7.91711E+17,,
7.91711E+17,,
7.9171E+17,,
7.9171E+17,,
7.91709E+17,,
7.91693E+17,,
7.91691E+17,,
7.91663E+17,,
7.91655E+17,,
7.91648E+17,,
7.91637E+17,,
7.91625E+17,,
7.91616E+17,,
7.91482E+17,,
7.91473E+17,,
7.91466E+17,,
7.91455E+17,,
7.91434E+17,,
7.91414E+17,,
7.91378E+17,,
7.91372E+17,,
7.91365E+17,,
7.91364E+17,,
7.91363E+17,,
7.91362E+17,,
7.9136E+17,,
7.91359E+17,,
7.91336E+17,,
7.91325E+17,,
7.91323E+17,,
7.91319E+17,,
7.91315E+17,,
7.91314E+17,,
7.91313E+17,,
7.91312E+17,,
7.9131E+17,,
7.91302E+17,,
7.9129E+17,,
7.91281E+17,,
7.91264E+17,,
7.91249E+17,,
7.91111E+17,,
7.91106E+17,,
7.911E+17,,
7.91087E+17,,
7.9107E+17,,
7.91053E+17,,
7.91017E+17,,
7.91007E+17,,
7.90996E+17,,
7.90994E+17,,
7.90994E+17,,
7.90993E+17,,
7.90993E+17,,
7.90992E+17,,
7.90992E+17,,
7.90991E+17,,
7.90989E+17,,
7.90975E+17,,
7.90961E+17,,
7.90951E+17,,
7.90944E+17,,
7.90939E+17,,
7.90932E+17,,
7.90928E+17,,
7.90916E+17,,
7.90904E+17,,
7.90761E+17,,
7.90755E+17,,
7.90748E+17,,
7.90738E+17,,
7.9073E+17,,
7.90718E+17,,
7.90711E+17,,
7.90684E+17,,
7.90683E+17,,
7.9068E+17,,
7.90666E+17,,
7.90644E+17,,
7.90636E+17,,
7.90618E+17,,
7.90617E+17,,
7.90615E+17,,
7.90614E+17,,
7.90613E+17,,
7.90613E+17,,
7.90612E+17,,
7.90612E+17,,
7.90609E+17,,
7.90607E+17,,
7.90607E+17,,
7.90606E+17,,
7.90605E+17,,
7.90605E+17,,
7.90603E+17,,
7.90564E+17,,
7.90553E+17,,
7.90383E+17,,
7.90372E+17,,
7.90366E+17,,
7.90359E+17,,
7.90332E+17,,
7.90298E+17,,
7.90274E+17,,
7.90253E+17,,
7.90238E+17,,
7.90207E+17,,
7.90179E+17,,
7.90021E+17,,
7.90015E+17,,
7.90004E+17,,
7.89982E+17,,
7.89975E+17,,
7.8995E+17,,
7.89949E+17,,
7.89946E+17,,
7.89945E+17,,
7.89944E+17,,
7.89943E+17,,
7.89941E+17,,
7.89937E+17,,
7.89908E+17,,
7.89906E+17,,
7.89893E+17,,
7.89879E+17,,
7.89862E+17,,
7.89847E+17,,
7.89828E+17,,
7.89815E+17,,
7.8966E+17,,
7.89652E+17,,
7.89651E+17,,
7.89615E+17,,
7.89606E+17,,
7.89596E+17,,
7.89588E+17,,
7.89579E+17,,
7.89578E+17,,
7.89577E+17,,
7.89577E+17,,
7.89576E+17,,
7.89576E+17,,
7.89575E+17,,
7.89575E+17,,
7.89575E+17,,
7.89574E+17,,
7.89574E+17,,
7.89574E+17,,
7.89573E+17,,
7.89572E+17,,
7.89548E+17,,
7.89531E+17,,
7.89525E+17,,
7.89515E+17,,
7.89509E+17,,
7.89499E+17,,
7.89485E+17,,
7.89456E+17,,
7.89304E+17,,
7.89281E+17,,
7.8928E+17,,
7.89279E+17,,
7.89278E+17,,
7.89278E+17,,
7.89277E+17,,
7.89277E+17,,
7.89277E+17,,
7.89276E+17,,
7.89276E+17,,
7.8926E+17,,
7.89245E+17,,
7.89225E+17,,
7.89221E+17,,
7.8922E+17,,
7.8922E+17,,
7.89219E+17,,
7.89219E+17,,
7.89218E+17,,
7.89218E+17,,
7.89217E+17,,
7.89217E+17,,
7.89216E+17,,
7.89216E+17,,
7.89215E+17,,
7.89215E+17,,
7.89214E+17,,
7.89208E+17,,
7.89208E+17,,
7.89207E+17,,
7.89207E+17,,
7.89205E+17,,
7.89205E+17,,
7.89204E+17,,
7.89203E+17,,
7.89202E+17,,
7.89201E+17,,
7.89201E+17,,
7.892E+17,,
7.89199E+17,,
7.89198E+17,,
7.89191E+17,,
7.89173E+17,,
7.8915E+17,,
7.89142E+17,,
7.89139E+17,,
7.89135E+17,,
7.89132E+17,,
7.89126E+17,,
7.89125E+17,,
7.89111E+17,,
7.89104E+17,,
7.89098E+17,,
7.89089E+17,,
7.89074E+17,,
7.88964E+17,,
7.88958E+17,,
7.88954E+17,,
7.88948E+17,,
7.88945E+17,,
7.88944E+17,,
7.88943E+17,,
7.88942E+17,,
7.88942E+17,,
7.88939E+17,,
7.88937E+17,,
7.88936E+17,,
7.88935E+17,,
7.88935E+17,,
7.88934E+17,,
7.88933E+17,,
7.88932E+17,,
7.88932E+17,,
7.8893E+17,,
7.88929E+17,,
7.88928E+17,,
7.88927E+17,,
7.88927E+17,,
7.88926E+17,,
7.88926E+17,,
7.88926E+17,,
7.88925E+17,,
7.88925E+17,,
7.88924E+17,,
7.88923E+17,,
7.88922E+17,,
7.88921E+17,,
7.88921E+17,,
7.8892E+17,,
7.88919E+17,,
7.88919E+17,,
7.88919E+17,,
7.88918E+17,,
7.88918E+17,,
7.88918E+17,,
7.88917E+17,,
7.88917E+17,,
7.88917E+17,,
7.88916E+17,,
7.88916E+17,,
7.88916E+17,,
7.88915E+17,,
7.88914E+17,,
7.88914E+17,,
7.88914E+17,,
7.88913E+17,,
7.88913E+17,,
7.88912E+17,,
7.88912E+17,,
7.88912E+17,,
7.88911E+17,,
7.88911E+17,,
7.88909E+17,,
7.88909E+17,,
7.88907E+17,,
7.88903E+17,,
7.88896E+17,,
7.88889E+17,,
7.88868E+17,,
7.88847E+17,,
7.8884E+17,,
7.88837E+17,,
7.88824E+17,,
7.88817E+17,,
7.88803E+17,,
7.88798E+17,,
7.8879E+17,,
7.88775E+17,,
7.88759E+17,,
7.88753E+17,,
7.88748E+17,,
7.88725E+17,,
7.88709E+17,,
7.88562E+17,,
7.88549E+17,,
7.88539E+17,,
7.88531E+17,,
7.88515E+17,,
7.88505E+17,,
7.8849E+17,,
7.88487E+17,,
7.88474E+17,,
7.8847E+17,,
7.88438E+17,,
7.88425E+17,,
7.88416E+17,,
7.88398E+17,,
7.88392E+17,,
7.88388E+17,,
7.88379E+17,,
7.88365E+17,,
7.88187E+17,,
7.8817E+17,,
7.88154E+17,,
7.88142E+17,,
7.88132E+17,,
7.88115E+17,,
7.88093E+17,,
7.88081E+17,,
7.88063E+17,,
7.88043E+17,,
7.88026E+17,,
7.88016E+17,,
7.87983E+17,,
7.87829E+17,,
7.87819E+17,,
7.87804E+17,,
7.87778E+17,,
7.87774E+17,,
7.87763E+17,,
7.87748E+17,,
7.87736E+17,,
7.87732E+17,,
7.87689E+17,,
7.87461E+17,,
7.87445E+17,,
7.87441E+17,,
